"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Total
105,Yemen,,887,CR,1.0
106,CENTRAL AND SOUTHERN ASIA,,921,,2.1
107,Central Asia,,5500,,13.2
108,Kazakhstan,,398,B,22.1
109,Kyrgyzstan,,417,B,14.2
110,Tajikistan,,762,B,8.1
111,Turkmenistan,,795,B,8.3
112,Uzbekistan,,860,B,8.1
113,Southern Asia,,5501,,1.6
114,Afghanistan,,4,B,0.5
115,Bangladesh,,50,B R,0.9
116,Bhutan,,64,B,4.5
117,India,,356,B R,0.9
118,Iran (Islamic Republic of),,364,B R,7.6
119,Maldives,,462,C,3.9
120,Nepal,,524,B R,2.3
121,Pakistan,,586,B R,5.8
122,Sri Lanka,,144,B R,0.2
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,0.4
124,Eastern Asia,,906,,0.3
125,China,9,156,C,0.0
126,"China, Hong Kong SAR",10,344,B,38.7
127,"China, Macao SAR",11,446,B,59.6
128,Dem. People's Republic of Korea,,408,I,0.2
129,Japan,,392,C,0.9
130,Mongolia,,496,C,0.3
131,Republic of Korea,,410,C,0.1
132,South-Eastern Asia,,920,,0.6
133,Brunei Darussalam,,96,B,28.3
134,Cambodia,,116,B,0.4
135,Indonesia,,360,B R,0.3
136,Lao People's Democratic Republic,,418,C R,0.5
137,Malaysia,12,458,C R,3.9
138,Myanmar,,104,C,0.3
139,Philippines,,608,C R,0.2
140,Singapore,,702,B,24.1
141,Thailand,,764,B R,0.9
142,Timor-Leste,,626,B,1.2
143,Viet Nam,,704,C R,0.0
144,LATIN AMERICA AND THE CARIBBEAN,,1830,,1.6
145,Caribbean,,915,,3.1
146,Anguilla,,660,B,28.9
147,Antigua and Barbuda,,28,B,19.2
148,Aruba,,533,B,23.2
149,Bahamas,,44,B,10.5
150,Barbados,,52,B,9.2
151,British Virgin Islands,,92,B,45.9
152,"Bonaire, Sint Eustatius and Saba",13,535,B,20.4
153,Cayman Islands,,136,C,36.8
154,Cuba,,192,B,0.3
155,Curaçao,,531,B,..
156,Dominica,,212,B,3.6
157,Dominican Republic,,214,B,4.1
158,Grenada,,308,B,4.4
159,Guadeloupe,14,312,B,15.5
160,Haiti,,332,B,0.3
161,Jamaica,,388,B,0.8
162,Martinique,,474,B,10.8
163,Montserrat,,500,B,19.0
164,Puerto Rico,,630,B,9.5
165,Saint Kitts and Nevis,,659,B,8.0
166,Saint Lucia,,662,B,3.8
167,Saint Vincent and the Grenadines,,670,B,3.7
168,Sint Maarten (Dutch part),,534,B,..
169,Trinidad and Tobago,,780,B,4.1
170,Turks and Caicos Islands,,796,B,41.8
171,United States Virgin Islands,,850,B,50.1
172,Central America,,916,,1.6
173,Belize,,84,B R ,16.2
174,Costa Rica,,188,B R,13.4
175,El Salvador,,222,B R,0.9
176,Guatemala,,320,B R,2.9
177,Honduras,,340,B R,5.5
178,Mexico,,484,B R,0.8
179,Nicaragua,,558,B R,1.0
180,Panama,,591,B,2.5
181,South America,,931,,1.4
182,Argentina,,32,B,5.1
183,Bolivia (Plurinational State of),,68,B,1.1
184,Brazil,,76,B,0.5
185,Chile,,152,B,0.8
186,Colombia,,170,B,0.3
187,Ecuador,,218,B R,0.8
188,Falkland Islands (Malvinas),15,238,B,43.1
189,French Guiana,,254,B,54.9
190,Guyana,,328,B,0.6
191,Paraguay,,600,B,4.6
192,Peru,,604,B,0.3
193,Suriname,,740,C,4.5
194,Uruguay,,858,B,3.2
195,Venezuela (Bolivarian Republic of),,862,B,5.2
196,OCEANIA,,909,,17.3
197,Australia / New Zealand,,927,,22.0
198,Australia,16,36,B,23.3
199,New Zealand,,554,B,15.2
200,Melanesia,,928,,1.5
201,Fiji,,242,B,1.8
202,New Caledonia,,540,B,22.1
203,Papua New Guinea,,598,C R,0.7
204,Solomon Islands,,90,B,1.4
205,Vanuatu,,548,B,1.6
206,Micronesia,,954,,26.1
207,Guam,,316,B,53.5
208,Kiribati,,296,B,3.0
209,Marshall Islands,,584,B,2.4
210,Micronesia (Fed. States of),,583,B,3.8
211,Nauru,,520,C,29.6
212,Northern Mariana Islands,,580,B,58.1
213,Palau,,585,B,18.6
214,Polynesia,17,957,,10.6
215,American Samoa,,16,B,45.0
216,Cook Islands,,184,B,14.2
217,French Polynesia,,258,B,12.9
218,Niue,,570,B,19.8
219,Samoa,,882,B,2.1
220,Tokelau,,772,B,16.8
221,Tonga,,776,B,3.1
222,Tuvalu,,798,C,3.6
223,Wallis and Futuna Islands,,876,B,10.2
224,EUROPE AND NORTHERN AMERICA,,1829,,7.7
225,EUROPE,,917,,6.9
226,Eastern Europe,,923,,7.1
227,Belarus,,112,B,12.3
228,Bulgaria,,100,B,0.2
229,Czechia,,203,C,1.1
230,Hungary,,348,B R,3.3
231,Poland,,616,B,3.0
232,Republic of Moldova,18,498,B,12.5
233,Romania,,642,B,0.6
234,Russian Federation,,643,B,7.8
235,Slovakia,,703,B,0.8
236,Ukraine,19,804,B,13.4
237,Northern Europe,,924,,7.2
238,Channel Islands,20,830,B,43.8
239,Denmark,,208,B,4.6
240,Estonia,,233,B,24.4
241,Faroe Islands,,234,B,9.1
242,Finland,21,246,B,1.3
243,Iceland,,352,B,3.8
244,Ireland,,372,B,6.5
245,Isle of Man,,833,B,49.5
246,Latvia,,428,B,24.2
247,Lithuania,,440,B,9.4
248,Norway,22,578,B,4.5
249,Sweden,,752,B,9.2
250,United Kingdom,,826,B,6.4
251,Southern Europe,,925,,3.0
252,Albania,,8,B,2.0
253,Andorra,,20,C,71.3
254,Bosnia and Herzegovina,,70,I R,1.3
255,Croatia,,191,B R,10.0
256,Gibraltar,,292,B,29.9
257,Greece,,300,B,6.0
258,Holy See,23,336,I,100.0
259,Italy,,380,B,2.5
260,Malta,,470,B,4.2
261,Montenegro,,499,B,..
262,North Macedonia,,807,B,4.8
263,Portugal,,620,B,4.4
264,San Marino,,674,C,13.7
265,Serbia,24,688,B,1.0
266,Slovenia,,705,B,8.9
267,Spain,25,724,B,2.1
268,Western Europe,,926,,9.5
269,Austria,,40,B,10.3
270,Belgium,,56,B,12.8
271,France,,250,B,10.4
272,Germany,,276,B,7.5
273,Liechtenstein,,438,B,37.9
274,Luxembourg,,442,B,29.8
275,Monaco,,492,B,69.2
276,Netherlands,,528,B,7.9
277,Switzerland,,756,B,20.9
278,NORTHERN AMERICA,,918,,9.9
279,Bermuda,,60,B,25.4
280,Canada,,124,B,15.7
281,Greenland,,304,B,16.7
282,Saint Pierre and Miquelon,,666,B,17.2
283,United States of America,,840,B,9.2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,United Nations,
,,,,Population Division,
,,,,Department of Economic and Social Affairs,
,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2019",
,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",
,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock
,,,,,1990
1,WORLD,,900,,49.2
2,UN development groups,,,,..
3,More developed regions,b,901,,51.2
4,Less developed regions,c,902,,47.0
5,Least developed countries,d,941,,49.8
6,"Less developed regions, excluding least developed countries",,934,,46.5
7,World Bank income groups,,,,..
8,High-income countries,e,1503,,48.6
9,Middle-income countries,e,1517,,49.9
10,Upper-middle-income countries,e,1502,,49.3
11,Lower-middle-income countries,e,1501,,50.5
12,Low-income countries,e,1500,,50.1
13,No income group available,,1518,,48.6
14,Geographic regions,,,,..
15,Africa,,903,,47.2
16,Asia,,935,,46.6
17,Europe,,908,,51.4
18,Latin America and the Caribbean,,904,,49.8
19,Northern America,,905,,51.1
20,Oceania,,909,,48.9
21,Sustainable Development Goal (SDG) regions,f,,,..
22,SUB-SAHARAN AFRICA,,947,,46.9
23,Eastern Africa,,910,,48.5
24,Burundi,,108,B R,51.0
25,Comoros,,174,B,52.3
26,Djibouti,,262,B R,47.4
27,Eritrea,,232,I,47.4
28,Ethiopia,,231,B R,47.4
29,Kenya,,404,B R,45.9
30,Madagascar,,450,C,44.2
31,Malawi,,454,B R,51.5
32,Mauritius,1,480,C,51.2
33,Mayotte,,175,B,42.3
34,Mozambique,,508,B R,46.0
35,Réunion,,638,B,46.3
36,Rwanda,,646,B R,49.5
37,Seychelles,,690,B,40.8
38,Somalia,,706,I R,48.9
39,South Sudan,,728,B R,..
40,Uganda,,800,B R,47.9
41,United Republic of Tanzania,2,834,B R,50.6
42,Zambia,,894,B R,48.8
43,Zimbabwe,,716,B R,43.9
44,Middle Africa,,911,,49.0
45,Angola,,24,B R,45.9
46,Cameroon,,120,B,45.2
47,Central African Republic,,140,C,46.9
48,Chad,,148,B R,46.0
49,Congo,,178,B,50.3
50,Democratic Republic of the Congo,,180,B R,51.9
51,Equatorial Guinea,,226,C,46.5
52,Gabon,,266,C,42.9
53,Sao Tome and Principe,,678,C,47.1
54,Southern Africa,,913,,39.7
55,Botswana,,72,B,39.6
56,Eswatini,,748,B R,46.8
57,Lesotho,,426,C R,47.6
58,Namibia,,516,B,47.2
59,South Africa,,710,B R,38.4
60,Western Africa,,914,,46.5
61,Benin,,204,C B R,47.3
62,Burkina Faso,,854,B R,52.0
63,Cabo Verde,,132,B,50.4
64,Côte d'Ivoire,,384,C B,44.3
65,Gambia,,270,B,43.9
66,Ghana,,288,B,49.6
67,Guinea,,324,C B R,50.1
68,Guinea-Bissau,,624,B R,50.0
69,Liberia,,430,B,43.2
70,Mali,,466,B R,49.0
71,Mauritania,,478,C R,48.4
72,Niger,,562,B R,52.2
73,Nigeria,,566,C R,43.9
74,Saint Helena,3,654,C,38.2
75,Senegal,,686,B R,48.7
76,Sierra Leone,,694,B R,44.7
77,Togo,,768,C R,49.4
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,42.4
79,Northern Africa,,912,,48.8
80,Algeria,,12,B R,45.2
81,Egypt,,818,B R,47.1
82,Libya,,434,C,46.9
83,Morocco,,504,C,47.1
84,Sudan,4,729,B R,50.4
85,Tunisia,,788,C,50.2
86,Western Sahara,,732,I,45.5
87,Western Asia,,922,,41.4
88,Armenia,,51,B R,58.9
89,Azerbaijan,5,31,B R,56.2
90,Bahrain,,48,C,29.1
91,Cyprus,6,196,B,53.3
92,Georgia,7,268,B,56.2
93,Iraq,,368,C R,33.3
94,Israel,,376,B R,52.8
95,Jordan,,400,C R,48.8
96,Kuwait,,414,C R,39.0
97,Lebanon,,422,B R,48.8
98,Oman,,512,C,20.2
99,Qatar,,634,C,27.1
100,Saudi Arabia,,682,C R,33.5
101,State of Palestine,8,275,B,54.2
102,Syrian Arab Republic,,760,C R,49.0
103,Turkey,,792,B R,50.4
104,United Arab Emirates,,784,C R,28.7
105,Yemen,,887,CR,43.6
106,CENTRAL AND SOUTHERN ASIA,,921,,49.0
107,Central Asia,,5500,,55.2
108,Kazakhstan,,398,B,54.0
109,Kyrgyzstan,,417,B,58.2
110,Tajikistan,,762,B,56.2
111,Turkmenistan,,795,B,56.2
112,Uzbekistan,,860,B,56.2
113,Southern Asia,,5501,,46.9
114,Afghanistan,,4,B,43.6
115,Bangladesh,,50,B R,46.0
116,Bhutan,,64,B,18.5
117,India,,356,B R,47.8
118,Iran (Islamic Republic of),,364,B R,42.8
119,Maldives,,462,C,45.0
120,Nepal,,524,B R,70.7
121,Pakistan,,586,B R,47.4
122,Sri Lanka,,144,B R,43.6
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,48.7
124,Eastern Asia,,906,,49.6
125,China,9,156,C,49.0
126,"China, Hong Kong SAR",10,344,B,49.3
127,"China, Macao SAR",11,446,B,53.0
128,Dem. People's Republic of Korea,,408,I,49.0
129,Japan,,392,C,49.9
130,Mongolia,,496,C,49.1
131,Republic of Korea,,410,C,43.7
132,South-Eastern Asia,,920,,47.5
133,Brunei Darussalam,,96,B,42.8
134,Cambodia,,116,B,50.3
135,Indonesia,,360,B R,50.6
136,Lao People's Democratic Republic,,418,C R,48.4
137,Malaysia,12,458,C R,41.7
138,Myanmar,,104,C,45.9
139,Philippines,,608,C R,47.2
140,Singapore,,702,B,52.4
141,Thailand,,764,B R,46.4
142,Timor-Leste,,626,B,50.3
143,Viet Nam,,704,C R,45.8
144,LATIN AMERICA AND THE CARIBBEAN,,1830,,49.8
145,Caribbean,,915,,48.0
146,Anguilla,,660,B,51.1
147,Antigua and Barbuda,,28,B,52.0
148,Aruba,,533,B,55.5
149,Bahamas,,44,B,48.5
150,Barbados,,52,B,58.1
151,British Virgin Islands,,92,B,48.6
152,"Bonaire, Sint Eustatius and Saba",13,535,B,55.1
153,Cayman Islands,,136,C,50.8
154,Cuba,,192,B,50.0
155,Curaçao,,531,B,..
156,Dominica,,212,B,48.0
157,Dominican Republic,,214,B,37.6
158,Grenada,,308,B,50.6
159,Guadeloupe,14,312,B,50.4
160,Haiti,,332,B,44.4
161,Jamaica,,388,B,51.3
162,Martinique,,474,B,50.7
163,Montserrat,,500,B,48.9
164,Puerto Rico,,630,B,52.4
165,Saint Kitts and Nevis,,659,B,48.8
166,Saint Lucia,,662,B,50.7
167,Saint Vincent and the Grenadines,,670,B,51.4
168,Sint Maarten (Dutch part),,534,B,..
169,Trinidad and Tobago,,780,B,53.6
170,Turks and Caicos Islands,,796,B,48.2
171,United States Virgin Islands,,850,B,52.2
172,Central America,,916,,50.6
173,Belize,,84,B R ,46.1
174,Costa Rica,,188,B R,49.2
175,El Salvador,,222,B R,53.1
176,Guatemala,,320,B R,57.4
177,Honduras,,340,B R,49.1
178,Mexico,,484,B R,49.9
179,Nicaragua,,558,B R,49.6
180,Panama,,591,B,47.2
181,South America,,931,,49.9
182,Argentina,,32,B,52.2
183,Bolivia (Plurinational State of),,68,B,49.1
184,Brazil,,76,B,46.6
185,Chile,,152,B,49.3
186,Colombia,,170,B,49.1
187,Ecuador,,218,B R,51.0
188,Falkland Islands (Malvinas),15,238,B,42.9
189,French Guiana,,254,B,45.2
190,Guyana,,328,B,46.3
191,Paraguay,,600,B,47.5
192,Peru,,604,B,49.9
193,Suriname,,740,C,46.0
194,Uruguay,,858,B,53.3
195,Venezuela (Bolivarian Republic of),,862,B,49.5
196,OCEANIA,,909,,48.9
197,Australia / New Zealand,,927,,49.2
198,Australia,16,36,B,49.1
199,New Zealand,,554,B,50.2
200,Melanesia,,928,,44.4
201,Fiji,,242,B,48.5
202,New Caledonia,,540,B,44.6
203,Papua New Guinea,,598,C R,42.6
204,Solomon Islands,,90,B,44.4
205,Vanuatu,,548,B,45.0
206,Micronesia,,954,,44.2
207,Guam,,316,B,43.6
208,Kiribati,,296,B,48.8
209,Marshall Islands,,584,B,37.7
210,Micronesia (Fed. States of),,583,B,43.0
211,Nauru,,520,C,46.5
212,Northern Mariana Islands,,580,B,46.4
213,Palau,,585,B,35.7
214,Polynesia,17,957,,44.2
215,American Samoa,,16,B,47.5
216,Cook Islands,,184,B,44.2
217,French Polynesia,,258,B,40.2
218,Niue,,570,B,46.9
219,Samoa,,882,B,47.2
220,Tokelau,,772,B,44.4
221,Tonga,,776,B,48.9
222,Tuvalu,,798,C,43.4
223,Wallis and Futuna Islands,,876,B,48.2
224,EUROPE AND NORTHERN AMERICA,,1829,,51.3
225,EUROPE,,917,,51.4
226,Eastern Europe,,923,,53.6
227,Belarus,,112,B,54.2
228,Bulgaria,,100,B,57.9
229,Czechia,,203,C,48.0
230,Hungary,,348,B R,55.1
231,Poland,,616,B,57.2
232,Republic of Moldova,18,498,B,56.3
233,Romania,,642,B,57.6
234,Russian Federation,,643,B,50.9
235,Slovakia,,703,B,56.0
236,Ukraine,19,804,B,57.2
237,Northern Europe,,924,,52.2
238,Channel Islands,20,830,B,53.0
239,Denmark,,208,B,51.4
240,Estonia,,233,B,55.1
241,Faroe Islands,,234,B,43.1
242,Finland,21,246,B,49.9
243,Iceland,,352,B,55.7
244,Ireland,,372,B,50.8
245,Isle of Man,,833,B,52.9
246,Latvia,,428,B,55.0
247,Lithuania,,440,B,52.9
248,Norway,22,578,B,48.3
249,Sweden,,752,B,51.4
250,United Kingdom,,826,B,51.9
251,Southern Europe,,925,,52.5
252,Albania,,8,B,53.7
253,Andorra,,20,C,46.0
254,Bosnia and Herzegovina,,70,I R,52.6
255,Croatia,,191,B R,53.2
256,Gibraltar,,292,B,48.0
257,Greece,,300,B,46.6
258,Holy See,23,336,I,51.0
259,Italy,,380,B,55.0
260,Malta,,470,B,53.5
261,Montenegro,,499,B,..
262,North Macedonia,,807,B,58.3
263,Portugal,,620,B,51.8
264,San Marino,,674,C,47.8
265,Serbia,24,688,B,52.9
266,Slovenia,,705,B,49.7
267,Spain,25,724,B,52.5
268,Western Europe,,926,,47.8
269,Austria,,40,B,53.6
270,Belgium,,56,B,48.9
271,France,,250,B,49.1
272,Germany,,276,B,44.5
273,Liechtenstein,,438,B,45.4
274,Luxembourg,,442,B,50.7
275,Monaco,,492,B,53.5
276,Netherlands,,528,B,49.9
277,Switzerland,,756,B,49.6
278,NORTHERN AMERICA,,918,,51.1
279,Bermuda,,60,B,51.8
280,Canada,,124,B,51.3
281,Greenland,,304,B,30.3
282,Saint Pierre and Miquelon,,666,B,49.0
283,United States of America,,840,B,51.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,United Nations,
,,,,Population Division,
,,,,Department of Economic and Social Affairs,
,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,
,,,,"Table 5 - Annual rate of change of the migrant stock by sex and by major area, region, country or area, 1990-2019 (percentage)",
,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",
,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Annual rate of change of the migrant stock (both sexes)
,,,,,1990-1995
1,WORLD,,900,,1.1
2,UN development groups,,,,..
3,More developed regions,b,901,,2.3
4,Less developed regions,c,902,,-0.5
5,Least developed countries,d,941,,1.1
6,"Less developed regions, excluding least developed countries",,934,,-0.9
7,World Bank income groups,,,,..
8,High-income countries,e,1503,,2.8
9,Middle-income countries,e,1517,,-1.3
10,Upper-middle-income countries,e,1502,,0.1
11,Lower-middle-income countries,e,1501,,-2.9
12,Low-income countries,e,1500,,1.5
13,No income group available,e,1518,,3.7
14,Geographic regions,,,,..
15,Africa,,903,,0.8
16,Asia,,935,,-0.8
17,Europe,,908,,1.5
18,Latin America and the Caribbean,,904,,-1.4
19,Northern America,,905,,3.8
20,Oceania,,909,,1.2
21,Sustainable Development Goal (SDG) regions,f,,,..
22,SUB-SAHARAN AFRICA,,947,,1.4
23,Eastern Africa,,910,,-3.6
24,Burundi,,108,B R,-5.4
25,Comoros,,174,B,-0.2
26,Djibouti,,262,B R,-4.1
27,Eritrea,,232,I,0.9
28,Ethiopia,,231,B R,-7.2
29,Kenya,,404,B R,14.6
30,Madagascar,,450,C,-2.4
31,Malawi,,454,B R,-30.8
32,Mauritius,1,480,C,14.6
33,Mayotte,,175,B,10.9
34,Mozambique,,508,B R,6.4
35,Réunion,,638,B,6.0
36,Rwanda,,646,B R,6.0
37,Seychelles,,690,B,6.5
38,Somalia,,706,I R,-64.0
39,South Sudan,,728,B R,..
40,Uganda,,800,B R,2.2
41,United Republic of Tanzania,2,834,B R,13.1
42,Zambia,,894,B R,-2.7
43,Zimbabwe,,716,B R,-7.7
44,Middle Africa,,911,,12.0
45,Angola,,24,B R,3.4
46,Cameroon,,120,B,-1.7
47,Central African Republic,,140,C,7.9
48,Chad,,148,B R,3.7
49,Congo,,178,B,7.9
50,Democratic Republic of the Congo,,180,B R,17.6
51,Equatorial Guinea,,226,C,5.6
52,Gabon,,266,C,5.8
53,Sao Tome and Principe,,678,C,-2.5
54,Southern Africa,,913,,-3.0
55,Botswana,,72,B,7.6
56,Eswatini,,748,B R,-15.2
57,Lesotho,,426,C R,-2.7
58,Namibia,,516,B,-0.9
59,South Africa,,710,B R,-3.0
60,Western Africa,,914,,3.9
61,Benin,,204,C B R,6.4
62,Burkina Faso,,854,B R,5.7
63,Cabo Verde,,132,B,2.2
64,Côte d'Ivoire,,384,C B,2.7
65,Gambia,,270,B,4.9
66,Ghana,,288,B,8.6
67,Guinea,,324,C B R,13.0
68,Guinea-Bissau,,624,B R,12.0
69,Liberia,,430,B,15.7
70,Mali,,466,B R,1.8
71,Mauritania,,478,C R,-4.4
72,Niger,,562,B R,4.7
73,Nigeria,,566,C R,0.3
74,Saint Helena,3,654,C,-8.4
75,Senegal,,686,B R,1.2
76,Sierra Leone,,694,B R,-16.3
77,Togo,,768,C R,3.6
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,1.4
79,Northern Africa,,912,,-2.9
80,Algeria,,12,B R,-0.9
81,Egypt,,818,B R,-0.8
82,Libya,,434,C,2.1
83,Morocco,,504,C,-1.7
84,Sudan,4,729,B R,-5.7
85,Tunisia,,788,C,-0.1
86,Western Sahara,,732,I,2.1
87,Western Asia,,922,,2.0
88,Armenia,,51,B R,1.0
89,Azerbaijan,5,31,B R,-0.9
90,Bahrain,,48,C,3.5
91,Cyprus,6,196,B,6.9
92,Georgia,7,268,B,-13.9
93,Iraq,,368,C R,17.4
94,Israel,,376,B R,1.9
95,Jordan,,400,C R,5.9
96,Kuwait,,414,C R,-3.1
97,Lebanon,,422,B R,3.0
98,Oman,,512,C,11.5
99,Qatar,,634,C,3.1
100,Saudi Arabia,,682,C R,0.5
101,State of Palestine,8,275,B,-0.5
102,Syrian Arab Republic,,760,C R,3.0
103,Turkey,,792,B R,0.9
104,United Arab Emirates,,784,C R,6.7
105,Yemen,,887,CR,2.8
106,CENTRAL AND SOUTHERN ASIA,,921,,-4.2
107,Central Asia,,5500,,-2.3
108,Kazakhstan,,398,B,-2.1
109,Kyrgyzstan,,417,B,-3.7
110,Tajikistan,,762,B,-4.2
111,Turkmenistan,,795,B,-2.3
112,Uzbekistan,,860,B,-1.8
113,Southern Asia,,5501,,-4.8
114,Afghanistan,,4,B,4.3
115,Bangladesh,,50,B R,1.2
116,Bhutan,,64,B,3.2
117,India,,356,B R,-1.8
118,Iran (Islamic Republic of),,364,B R,-7.6
119,Maldives,,462,C,15.1
120,Nepal,,524,B R,9.5
121,Pakistan,,586,B R,-10.5
122,Sri Lanka,,144,B R,-0.3
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,4.0
124,Eastern Asia,,906,,3.2
125,China,9,156,C,3.2
126,"China, Hong Kong SAR",10,344,B,1.9
127,"China, Macao SAR",11,446,B,1.9
128,Dem. People's Republic of Korea,,408,I,0.6
129,Japan,,392,C,4.7
130,Mongolia,,496,C,2.0
131,Republic of Korea,,410,C,21.0
132,South-Eastern Asia,,920,,5.0
133,Brunei Darussalam,,96,B,2.9
134,Cambodia,,116,B,17.5
135,Indonesia,,360,B R,-4.1
136,Lao People's Democratic Republic,,418,C R,0.6
137,Malaysia,12,458,C R,6.0
138,Myanmar,,104,C,-3.2
139,Philippines,,608,C R,5.9
140,Singapore,,702,B,6.2
141,Thailand,,764,B R,8.5
142,Timor-Leste,,626,B,1.7
143,Viet Nam,,704,C R,12.0
144,LATIN AMERICA AND THE CARIBBEAN,,1830,,-1.4
145,Caribbean,,915,,1.7
146,Anguilla,,660,B,5.1
147,Antigua and Barbuda,,28,B,7.6
148,Aruba,,533,B,8.7
149,Bahamas,,44,B,3.3
150,Barbados,,52,B,1.8
151,British Virgin Islands,,92,B,4.5
152,"Bonaire, Sint Eustatius and Saba",13,535,B,1.9
153,Cayman Islands,,136,C,6.1
154,Cuba,,192,B,-5.5
155,Curaçao,,531,B,..
156,Dominica,,212,B,4.3
157,Dominican Republic,,214,B,2.1
158,Grenada,,308,B,5.3
159,Guadeloupe,14,312,B,2.5
160,Haiti,,332,B,-1.0
161,Jamaica,,388,B,2.1
162,Martinique,,474,B,3.7
163,Montserrat,,500,B,-4.4
164,Puerto Rico,,630,B,1.0
165,Saint Kitts and Nevis,,659,B,5.6
166,Saint Lucia,,662,B,6.0
167,Saint Vincent and the Grenadines,,670,B,0.8
168,Sint Maarten (Dutch part),,534,B,..
169,Trinidad and Tobago,,780,B,-1.9
170,Turks and Caicos Islands,,796,B,6.6
171,United States Virgin Islands,,850,B,0.9
172,Central America,,916,,-6.9
173,Belize,,84,B R ,1.9
174,Costa Rica,,188,B R,-2.7
175,El Salvador,,222,B R,-3.6
176,Guatemala,,320,B R,-10.5
177,Honduras,,340,B R,-11.9
178,Mexico,,484,B R,-8.3
179,Nicaragua,,558,B R,-8.8
180,Panama,,591,B,2.4
181,South America,,931,,-0.2
182,Argentina,,32,B,-0.7
183,Bolivia (Plurinational State of),,68,B,2.5
184,Brazil,,76,B,-1.5
185,Chile,,152,B,5.6
186,Colombia,,170,B,0.5
187,Ecuador,,218,B R,7.6
188,Falkland Islands (Malvinas),15,238,B,0.3
189,French Guiana,,254,B,2.0
190,Guyana,,328,B,8.8
191,Paraguay,,600,B,-1.0
192,Peru,,604,B,0.0
193,Suriname,,740,C,4.2
194,Uruguay,,858,B,-1.0
195,Venezuela (Bolivarian Republic of),,862,B,-0.1
196,OCEANIA,,909,,1.2
197,Australia / New Zealand,,927,,1.2
198,Australia,16,36,B,1.0
199,New Zealand,,554,B,2.6
200,Melanesia,,928,,1.2
201,Fiji,,242,B,-0.4
202,New Caledonia,,540,B,3.0
203,Papua New Guinea,,598,C R,-0.1
204,Solomon Islands,,90,B,-0.2
205,Vanuatu,,548,B,1.3
206,Micronesia,,954,,1.7
207,Guam,,316,B,0.6
208,Kiribati,,296,B,0.6
209,Marshall Islands,,584,B,4.9
210,Micronesia (Fed. States of),,583,B,-2.0
211,Nauru,,520,C,-1.6
212,Northern Mariana Islands,,580,B,3.9
213,Palau,,585,B,10.6
214,Polynesia,17,957,,2.1
215,American Samoa,,16,B,1.6
216,Cook Islands,,184,B,0.8
217,French Polynesia,,258,B,1.9
218,Niue,,570,B,0.8
219,Samoa,,882,B,6.7
220,Tokelau,,772,B,-0.3
221,Tonga,,776,B,2.4
222,Tuvalu,,798,C,-3.8
223,Wallis and Futuna Islands,,876,B,3.9
224,EUROPE AND NORTHERN AMERICA,,1829,,2.3
225,EUROPE,,917,,1.5
226,Eastern Europe,,923,,-0.6
227,Belarus,,112,B,-1.0
228,Bulgaria,,100,B,8.2
229,Czechia,,203,C,8.1
230,Hungary,,348,B R,-1.5
231,Poland,,616,B,-3.1
232,Republic of Moldova,18,498,B,-7.9
233,Romania,,642,B,-0.1
234,Russian Federation,,643,B,0.7
235,Slovakia,,703,B,10.4
236,Ukraine,19,804,B,-2.2
237,Northern Europe,,924,,1.6
238,Channel Islands,20,830,B,-0.4
239,Denmark,,208,B,5.1
240,Estonia,,233,B,-3.8
241,Faroe Islands,,234,B,-7.8
242,Finland,21,246,B,9.1
243,Iceland,,352,B,5.7
244,Ireland,,372,B,-0.1
245,Isle of Man,,833,B,1.2
246,Latvia,,428,B,-3.7
247,Lithuania,,440,B,-4.9
248,Norway,22,578,B,3.8
249,Sweden,,752,B,3.4
250,United Kingdom,,826,B,2.6
251,Southern Europe,,925,,7.2
252,Albania,,8,B,1.6
253,Andorra,,20,C,2.6
254,Bosnia and Herzegovina,,70,I R,4.3
255,Croatia,,191,B R,7.0
256,Gibraltar,,292,B,-0.8
257,Greece,,300,B,6.6
