"Sort
order","Major area, region, country or area of destination",Total
159,Guadeloupe,50.4
160,Haiti,44.4
161,Jamaica,51.3
162,Martinique,50.7
163,Montserrat,48.9
164,Puerto Rico,52.4
165,Saint Kitts and Nevis,48.8
166,Saint Lucia,50.7
167,Saint Vincent and the Grenadines,51.4
168,Sint Maarten (Dutch part),..
169,Trinidad and Tobago,53.6
170,Turks and Caicos Islands,48.2
171,United States Virgin Islands,52.2
172,Central America,50.6
173,Belize,46.1
174,Costa Rica,49.2
175,El Salvador,53.1
176,Guatemala,57.4
177,Honduras,49.1
178,Mexico,49.9
179,Nicaragua,49.6
180,Panama,47.2
181,South America,49.9
182,Argentina,52.2
183,Bolivia (Plurinational State of),49.1
184,Brazil,46.6
185,Chile,49.3
186,Colombia,49.1
187,Ecuador,51.0
188,Falkland Islands (Malvinas),42.9
189,French Guiana,45.2
190,Guyana,46.3
191,Paraguay,47.5
192,Peru,49.9
193,Suriname,46.0
194,Uruguay,53.3
195,Venezuela (Bolivarian Republic of),49.5
196,OCEANIA,48.9
197,Australia / New Zealand,49.2
198,Australia,49.1
199,New Zealand,50.2
200,Melanesia,44.4
201,Fiji,48.5
202,New Caledonia,44.6
203,Papua New Guinea,42.6
204,Solomon Islands,44.4
205,Vanuatu,45.0
206,Micronesia,44.2
207,Guam,43.6
208,Kiribati,48.8
209,Marshall Islands,37.7
210,Micronesia (Fed. States of),43.0
211,Nauru,46.5
212,Northern Mariana Islands,46.4
213,Palau,35.7
214,Polynesia,44.2
215,American Samoa,47.5
216,Cook Islands,44.2
217,French Polynesia,40.2
218,Niue,46.9
219,Samoa,47.2
220,Tokelau,44.4
221,Tonga,48.9
222,Tuvalu,43.4
223,Wallis and Futuna Islands,48.2
224,EUROPE AND NORTHERN AMERICA,51.3
225,EUROPE,51.4
226,Eastern Europe,53.6
227,Belarus,54.2
228,Bulgaria,57.9
229,Czechia,48.0
230,Hungary,55.1
231,Poland,57.2
232,Republic of Moldova,56.3
233,Romania,57.6
234,Russian Federation,50.9
235,Slovakia,56.0
236,Ukraine,57.2
237,Northern Europe,52.2
238,Channel Islands,53.0
239,Denmark,51.4
240,Estonia,55.1
241,Faroe Islands,43.1
242,Finland,49.9
243,Iceland,55.7
244,Ireland,50.8
245,Isle of Man,52.9
246,Latvia,55.0
247,Lithuania,52.9
248,Norway,48.3
249,Sweden,51.4
250,United Kingdom,51.9
251,Southern Europe,52.5
252,Albania,53.7
253,Andorra,46.0
254,Bosnia and Herzegovina,52.6
255,Croatia,53.2
256,Gibraltar,48.0
257,Greece,46.6
258,Holy See,51.0
259,Italy,55.0
260,Malta,53.5
261,Montenegro,..
262,North Macedonia,58.3
263,Portugal,51.8
264,San Marino,47.8
265,Serbia,52.9
266,Slovenia,49.7
267,Spain,52.5
268,Western Europe,47.8
269,Austria,53.6
270,Belgium,48.9
271,France,49.1
272,Germany,44.5
273,Liechtenstein,45.4
274,Luxembourg,50.7
275,Monaco,53.5
276,Netherlands,49.9
277,Switzerland,49.6
278,NORTHERN AMERICA,51.1
279,Bermuda,51.8
280,Canada,51.3
281,Greenland,30.3
282,Saint Pierre and Miquelon,49.0
283,United States of America,51.1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Sort
order","Major area, region, country or area of destination",Annual rate of change of the migrant stock (both sexes)
,,1990-1995
1,WORLD,1.1
2,UN development groups,..
3,More developed regions,2.3
4,Less developed regions,-0.5
5,Least developed countries,1.1
6,"Less developed regions, excluding least developed countries",-0.9
7,World Bank income groups,..
8,High-income countries,2.8
9,Middle-income countries,-1.3
10,Upper-middle-income countries,0.1
11,Lower-middle-income countries,-2.9
12,Low-income countries,1.5
13,No income group available,3.7
14,Geographic regions,..
15,Africa,0.8
16,Asia,-0.8
17,Europe,1.5
18,Latin America and the Caribbean,-1.4
19,Northern America,3.8
20,Oceania,1.2
21,Sustainable Development Goal (SDG) regions,..
22,SUB-SAHARAN AFRICA,1.4
23,Eastern Africa,-3.6
24,Burundi,-5.4
25,Comoros,-0.2
26,Djibouti,-4.1
27,Eritrea,0.9
28,Ethiopia,-7.2
29,Kenya,14.6
30,Madagascar,-2.4
31,Malawi,-30.8
32,Mauritius,14.6
33,Mayotte,10.9
34,Mozambique,6.4
35,Réunion,6.0
36,Rwanda,6.0
37,Seychelles,6.5
38,Somalia,-64.0
39,South Sudan,..
40,Uganda,2.2
41,United Republic of Tanzania,13.1
42,Zambia,-2.7
43,Zimbabwe,-7.7
44,Middle Africa,12.0
45,Angola,3.4
46,Cameroon,-1.7
47,Central African Republic,7.9
48,Chad,3.7
49,Congo,7.9
50,Democratic Republic of the Congo,17.6
51,Equatorial Guinea,5.6
52,Gabon,5.8
53,Sao Tome and Principe,-2.5
54,Southern Africa,-3.0
55,Botswana,7.6
56,Eswatini,-15.2
57,Lesotho,-2.7
58,Namibia,-0.9
59,South Africa,-3.0
60,Western Africa,3.9
61,Benin,6.4
62,Burkina Faso,5.7
63,Cabo Verde,2.2
64,Côte d'Ivoire,2.7
65,Gambia,4.9
66,Ghana,8.6
67,Guinea,13.0
68,Guinea-Bissau,12.0
69,Liberia,15.7
70,Mali,1.8
71,Mauritania,-4.4
72,Niger,4.7
73,Nigeria,0.3
74,Saint Helena,-8.4
75,Senegal,1.2
76,Sierra Leone,-16.3
77,Togo,3.6
78,NORTHERN AFRICA AND WESTERN ASIA,1.4
79,Northern Africa,-2.9
80,Algeria,-0.9
81,Egypt,-0.8
82,Libya,2.1
83,Morocco,-1.7
84,Sudan,-5.7
85,Tunisia,-0.1
86,Western Sahara,2.1
87,Western Asia,2.0
88,Armenia,1.0
89,Azerbaijan,-0.9
90,Bahrain,3.5
91,Cyprus,6.9
92,Georgia,-13.9
93,Iraq,17.4
94,Israel,1.9
95,Jordan,5.9
96,Kuwait,-3.1
97,Lebanon,3.0
98,Oman,11.5
99,Qatar,3.1
100,Saudi Arabia,0.5
101,State of Palestine,-0.5
102,Syrian Arab Republic,3.0
103,Turkey,0.9
104,United Arab Emirates,6.7
105,Yemen,2.8
106,CENTRAL AND SOUTHERN ASIA,-4.2
107,Central Asia,-2.3
108,Kazakhstan,-2.1
109,Kyrgyzstan,-3.7
110,Tajikistan,-4.2
111,Turkmenistan,-2.3
112,Uzbekistan,-1.8
113,Southern Asia,-4.8
114,Afghanistan,4.3
115,Bangladesh,1.2
116,Bhutan,3.2
117,India,-1.8
118,Iran (Islamic Republic of),-7.6
119,Maldives,15.1
120,Nepal,9.5
121,Pakistan,-10.5
122,Sri Lanka,-0.3
123,EASTERN AND SOUTH-EASTERN ASIA,4.0
124,Eastern Asia,3.2
125,China,3.2
126,"China, Hong Kong SAR",1.9
127,"China, Macao SAR",1.9
128,Dem. People's Republic of Korea,0.6
129,Japan,4.7
130,Mongolia,2.0
131,Republic of Korea,21.0
132,South-Eastern Asia,5.0
133,Brunei Darussalam,2.9
134,Cambodia,17.5
135,Indonesia,-4.1
136,Lao People's Democratic Republic,0.6
137,Malaysia,6.0
138,Myanmar,-3.2
139,Philippines,5.9
140,Singapore,6.2
141,Thailand,8.5
142,Timor-Leste,1.7
143,Viet Nam,12.0
144,LATIN AMERICA AND THE CARIBBEAN,-1.4
145,Caribbean,1.7
146,Anguilla,5.1
147,Antigua and Barbuda,7.6
148,Aruba,8.7
149,Bahamas,3.3
150,Barbados,1.8
151,British Virgin Islands,4.5
152,"Bonaire, Sint Eustatius and Saba",1.9
153,Cayman Islands,6.1
154,Cuba,-5.5
155,Curaçao,..
156,Dominica,4.3
157,Dominican Republic,2.1
158,Grenada,5.3
159,Guadeloupe,2.5
160,Haiti,-1.0
161,Jamaica,2.1
162,Martinique,3.7
163,Montserrat,-4.4
164,Puerto Rico,1.0
165,Saint Kitts and Nevis,5.6
166,Saint Lucia,6.0
167,Saint Vincent and the Grenadines,0.8
168,Sint Maarten (Dutch part),..
169,Trinidad and Tobago,-1.9
170,Turks and Caicos Islands,6.6
171,United States Virgin Islands,0.9
172,Central America,-6.9
173,Belize,1.9
174,Costa Rica,-2.7
175,El Salvador,-3.6
176,Guatemala,-10.5
177,Honduras,-11.9
178,Mexico,-8.3
179,Nicaragua,-8.8
180,Panama,2.4
181,South America,-0.2
182,Argentina,-0.7
183,Bolivia (Plurinational State of),2.5
184,Brazil,-1.5
185,Chile,5.6
186,Colombia,0.5
187,Ecuador,7.6
188,Falkland Islands (Malvinas),0.3
189,French Guiana,2.0
190,Guyana,8.8
191,Paraguay,-1.0
192,Peru,0.0
193,Suriname,4.2
194,Uruguay,-1.0
195,Venezuela (Bolivarian Republic of),-0.1
196,OCEANIA,1.2
197,Australia / New Zealand,1.2
198,Australia,1.0
199,New Zealand,2.6
200,Melanesia,1.2
201,Fiji,-0.4
202,New Caledonia,3.0
203,Papua New Guinea,-0.1
204,Solomon Islands,-0.2
205,Vanuatu,1.3
206,Micronesia,1.7
207,Guam,0.6
208,Kiribati,0.6
209,Marshall Islands,4.9
210,Micronesia (Fed. States of),-2.0
211,Nauru,-1.6
212,Northern Mariana Islands,3.9
213,Palau,10.6
214,Polynesia,2.1
215,American Samoa,1.6
216,Cook Islands,0.8
217,French Polynesia,1.9
218,Niue,0.8
219,Samoa,6.7
220,Tokelau,-0.3
221,Tonga,2.4
222,Tuvalu,-3.8
223,Wallis and Futuna Islands,3.9
224,EUROPE AND NORTHERN AMERICA,2.3
225,EUROPE,1.5
226,Eastern Europe,-0.6
227,Belarus,-1.0
228,Bulgaria,8.2
229,Czechia,8.1
230,Hungary,-1.5
231,Poland,-3.1
232,Republic of Moldova,-7.9
233,Romania,-0.1
234,Russian Federation,0.7
235,Slovakia,10.4
236,Ukraine,-2.2
237,Northern Europe,1.6
238,Channel Islands,-0.4
239,Denmark,5.1
240,Estonia,-3.8
241,Faroe Islands,-7.8
242,Finland,9.1
243,Iceland,5.7
244,Ireland,-0.1
245,Isle of Man,1.2
246,Latvia,-3.7
247,Lithuania,-4.9
248,Norway,3.8
249,Sweden,3.4
250,United Kingdom,2.6
251,Southern Europe,7.2
252,Albania,1.6
253,Andorra,2.6
254,Bosnia and Herzegovina,4.3
255,Croatia,7.0
256,Gibraltar,-0.8
257,Greece,6.6
258,Holy See,0.3
259,Italy,4.3
260,Malta,3.3
261,Montenegro,..
262,North Macedonia,2.8
263,Portugal,4.0
264,San Marino,2.0
265,Serbia,43.4
266,Slovenia,-0.4
267,Spain,4.3
268,Western Europe,2.4
269,Austria,2.4
270,Belgium,0.1
271,France,0.6
272,Germany,4.6
273,Liechtenstein,4.0
274,Luxembourg,2.1
275,Monaco,0.7
276,Netherlands,2.6
277,Switzerland,1.2
278,NORTHERN AMERICA,3.8
279,Bermuda,1.2
280,Canada,2.3
281,Greenland,-5.3
282,Saint Pierre and Miquelon,3.7
283,United States of America,4.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Sort
order","Major area, region, country or area of destination",Estimated refugee stock (including asylum seekers) at mid-year (both sexes)
,,1990
1,WORLD,"18,977,581"
2,UN development groups,..
3,More developed regions,"2,042,750"
4,Less developed regions,"16,934,831"
5,Least developed countries,"5,048,975"
6,"Less developed regions, excluding least developed countries","11,885,856"
7,World Bank income groups,..
8,High-income countries,"2,127,921"
9,Middle-income countries,"12,615,251"
10,Upper-middle-income countries,"6,347,793"
11,Lower-middle-income countries,"6,267,458"
12,Low-income countries,"4,227,808"
13,No income group available,"6,601"
14,Geographic regions,..
15,Africa,"5,697,283"
16,Asia,"10,038,834"
17,Europe,"1,323,376"
18,Latin America and the Caribbean,"1,197,274"
19,Northern America,"610,144"
20,Oceania,"110,670"
21,Sustainable Development Goal (SDG) regions,..
22,SUB-SAHARAN AFRICA,"4,494,798"
23,Eastern Africa,"3,177,187"
24,Burundi,"267,929"
25,Comoros,0
26,Djibouti,"54,508"
27,Eritrea,0
28,Ethiopia,"741,965"
29,Kenya,"14,249"
30,Madagascar,0
31,Malawi,"874,614"
32,Mauritius,0
33,Mayotte,0
34,Mozambique,420
35,Réunion,0
36,Rwanda,"23,601"
37,Seychelles,0
38,Somalia,"460,000"
39,South Sudan,..
40,Uganda,"145,718"
41,United Republic of Tanzania,"265,184"
42,Zambia,"138,049"
43,Zimbabwe,"190,950"
44,Middle Africa,"447,234"
45,Angola,"12,000"
46,Cameroon,"49,876"
47,Central African Republic,"3,389"
48,Chad,0
49,Congo,"2,990"
50,Democratic Republic of the Congo,"378,562"
51,Equatorial Guinea,0
52,Gabon,417
53,Sao Tome and Principe,0
54,Southern Africa,"135,525"
55,Botswana,"1,220"
56,Eswatini,"42,074"
57,Lesotho,"2,231"
58,Namibia,0
59,South Africa,"90,000"
60,Western Africa,"734,852"
61,Benin,657
62,Burkina Faso,350
63,Cabo Verde,0
64,Côte d'Ivoire,"136,381"
65,Gambia,39
66,Ghana,"4,102"
67,Guinea,"325,000"
68,Guinea-Bissau,"3,004"
69,Liberia,125
70,Mali,"13,411"
71,Mauritania,"60,000"
72,Niger,792
73,Nigeria,"3,571"
74,Saint Helena,0
75,Senegal,"58,113"
76,Sierra Leone,"125,830"
77,Togo,"3,477"
78,NORTHERN AFRICA AND WESTERN ASIA,"3,769,356"
79,Northern Africa,"1,202,485"
80,Algeria,"169,107"
81,Egypt,"1,991"
82,Libya,0
83,Morocco,307
84,Sudan,"1,031,050"
85,Tunisia,30
86,Western Sahara,0
87,Western Asia,"2,566,871"
88,Armenia,..
89,Azerbaijan,..
90,Bahrain,"1,780"
91,Cyprus,17
92,Georgia,..
93,Iraq,900
94,Israel,0
95,Jordan,"929,482"
96,Kuwait,"30,000"
97,Lebanon,"305,499"
98,Oman,0
99,Qatar,0
100,Saudi Arabia,"33,261"
101,State of Palestine,"910,637"
102,Syrian Arab Republic,"282,794"
103,Turkey,"30,534"
104,United Arab Emirates,433
105,Yemen,"41,534"
106,CENTRAL AND SOUTHERN ASIA,"7,011,227"
107,Central Asia,"3,000"
108,Kazakhstan,..
109,Kyrgyzstan,..
110,Tajikistan,"3,000"
111,Turkmenistan,..
112,Uzbekistan,..
113,Southern Asia,"7,008,227"
114,Afghanistan,25
115,Bangladesh,73
116,Bhutan,0
117,India,"212,743"
118,Iran (Islamic Republic of),"3,512,201"
119,Maldives,0
120,Nepal,"17,325"
121,Pakistan,"3,265,845"
122,Sri Lanka,15
123,EASTERN AND SOUTH-EASTERN ASIA,"460,736"
124,Eastern Asia,"302,759"
125,China,"285,788"
126,"China, Hong Kong SAR","10,092"
127,"China, Macao SAR",0
128,Dem. People's Republic of Korea,0
129,Japan,"6,649"
130,Mongolia,0
131,Republic of Korea,230
132,South-Eastern Asia,"157,977"
133,Brunei Darussalam,0
134,Cambodia,0
135,Indonesia,"2,138"
136,Lao People's Democratic Republic,0
137,Malaysia,"14,862"
138,Myanmar,0
139,Philippines,"19,860"
140,Singapore,146
141,Thailand,"99,821"
142,Timor-Leste,..
143,Viet Nam,"21,150"
144,LATIN AMERICA AND THE CARIBBEAN,"1,197,274"
145,Caribbean,"6,632"
146,Anguilla,0
147,Antigua and Barbuda,0
148,Aruba,0
149,Bahamas,0
150,Barbados,0
151,British Virgin Islands,0
152,"Bonaire, Sint Eustatius and Saba",0
153,Cayman Islands,0
154,Cuba,"3,989"
155,Curaçao,..
156,Dominica,0
157,Dominican Republic,"2,643"
158,Grenada,0
159,Guadeloupe,0
160,Haiti,0
161,Jamaica,0
162,Martinique,0
163,Montserrat,0
164,Puerto Rico,0
165,Saint Kitts and Nevis,0
166,Saint Lucia,0
167,Saint Vincent and the Grenadines,0
168,Sint Maarten (Dutch part),..
169,Trinidad and Tobago,0
170,Turks and Caicos Islands,0
171,United States Virgin Islands,0
172,Central America,"1,162,216"
173,Belize,"30,404"
174,Costa Rica,"277,505"
175,El Salvador,"20,515"
176,Guatemala,"223,239"
177,Honduras,"237,144"
178,Mexico,"356,454"
179,Nicaragua,"15,605"
180,Panama,"1,350"
181,South America,"28,426"
182,Argentina,"12,185"
183,Bolivia (Plurinational State of),235
184,Brazil,"5,333"
185,Chile,179
186,Colombia,580
187,Ecuador,634
188,Falkland Islands (Malvinas),0
189,French Guiana,"6,601"
190,Guyana,0
191,Paraguay,66
192,Peru,724
193,Suriname,52
194,Uruguay,87
195,Venezuela (Bolivarian Republic of),"1,750"
199,OCEANIA,"110,670"
196,Australia / New Zealand,"102,581"
197,Australia,"97,915"
198,New Zealand,"4,666"
200,Melanesia,"8,089"
201,Fiji,0
202,New Caledonia,0
203,Papua New Guinea,"8,089"
204,Solomon Islands,0
205,Vanuatu,0
206,Micronesia,0
207,Guam,0
208,Kiribati,0
209,Marshall Islands,0
210,Micronesia (Fed. States of),0
211,Nauru,0
212,Northern Mariana Islands,0
213,Palau,0
214,Polynesia,0
215,American Samoa,0
216,Cook Islands,0
217,French Polynesia,0
218,Niue,0
219,Samoa,0
220,Tokelau,0
221,Tonga,0
222,Tuvalu,0
223,Wallis and Futuna Islands,0
224,EUROPE AND NORTHERN AMERICA,"1,933,520"
225,EUROPE,"1,323,376"
226,Eastern Europe,"45,774"
227,Belarus,..
228,Bulgaria,0
229,Czechia,..
230,Hungary,"45,123"
231,Poland,0
232,Republic of Moldova,..
233,Romania,651
234,Russian Federation,..
235,Slovakia,..
236,Ukraine,..
237,Northern Europe,"207,043"
238,Channel Islands,0
239,Denmark,"31,827"
240,Estonia,..
241,Faroe Islands,0
242,Finland,"2,174"
243,Iceland,43
244,Ireland,360
245,Isle of Man,0
246,Latvia,..
247,Lithuania,..
248,Norway,"19,581"
249,Sweden,"109,663"
250,United Kingdom,"43,395"
251,Southern Europe,"33,975"
252,Albania,"3,000"
253,Andorra,0
254,Bosnia and Herzegovina,..
255,Croatia,..
256,Gibraltar,0
257,Greece,"8,488"
258,Holy See,0
259,Italy,"12,379"
260,Malta,0
261,Montenegro,..
262,North Macedonia,0
263,Portugal,867
264,San Marino,0
265,Serbia,938
266,Slovenia,..
267,Spain,"8,303"
268,Western Europe,"1,036,584"
269,Austria,"37,172"
270,Belgium,"25,721"
271,France,"193,000"
272,Germany,"722,250"
273,Liechtenstein,0
274,Luxembourg,344
275,Monaco,0
276,Netherlands,"17,154"
277,Switzerland,"40,943"
278,NORTHERN AMERICA,"610,144"
279,Bermuda,0
280,Canada,"145,257"
281,Greenland,0
282,Saint Pierre and Miquelon,0
283,United States of America,"464,887"
,,
,,
,,
,,
,,
,,United Nations
,,Population Division
,,Department of Economic and Social Affairs
,,
,,Workbook: UN_MigrantStockTotal_2019.xlsx
,,ANNEX. Classification of countries and areas by major area and region
,,
,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/"
"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,
,,
,,
Index,"Region, subregion, country or area",More Developed Regions
1,WORLD,
2,UN development groups,
3,More developed regions,
4,Less developed regions,
5,Least developed countries,
6,"Less developed regions, excluding least developed countries",
7,World Bank income groups,
8,High-income countries,
9,Middle-income countries,
10,Upper-middle-income countries,
11,Lower-middle-income countries,
12,Low-income countries,
13,No income group available,
14,Geographic regions,
15,Africa,
16,Asia,
17,Europe,
18,Latin America and the Caribbean,
19,Northern America,
20,Oceania,
21,Sustainable Development Goal (SDG) regions,
22,SUB-SAHARAN AFRICA,
23,Eastern Africa,
24,Burundi,
25,Comoros,
26,Djibouti,
27,Eritrea,
28,Ethiopia,
29,Kenya,
30,Madagascar,
31,Malawi,
32,Mauritius,
33,Mayotte,
34,Mozambique,
35,Réunion,
36,Rwanda,
37,Seychelles,
38,Somalia,
39,South Sudan,
40,Uganda,
41,United Republic of Tanzania,
42,Zambia,
43,Zimbabwe,
44,Middle Africa,
45,Angola,
46,Cameroon,
47,Central African Republic,
48,Chad,
49,Congo,
50,Democratic Republic of the Congo,
51,Equatorial Guinea,
52,Gabon,
53,Sao Tome and Principe,
54,Southern Africa,
55,Botswana,
56,Eswatini,
57,Lesotho,
58,Namibia,
59,South Africa,
60,Western Africa,
61,Benin,
62,Burkina Faso,
63,Cabo Verde,
64,Côte d'Ivoire,
65,Gambia,
66,Ghana,
67,Guinea,
68,Guinea-Bissau,
69,Liberia,
70,Mali,
71,Mauritania,
72,Niger,
73,Nigeria,
74,Saint Helena,
75,Senegal,
76,Sierra Leone,
77,Togo,
78,NORTHERN AFRICA AND WESTERN ASIA,
79,Northern Africa,
80,Algeria,
81,Egypt,
82,Libya,
83,Morocco,
84,Sudan,
85,Tunisia,
86,Western Sahara,
87,Western Asia,
88,Armenia,
89,Azerbaijan,
90,Bahrain,
91,Cyprus,
92,Georgia,
93,Iraq,
94,Israel,
95,Jordan,
96,Kuwait,
97,Lebanon,
98,Oman,
99,Qatar,
100,Saudi Arabia,
101,State of Palestine,
102,Syrian Arab Republic,
103,Turkey,
104,United Arab Emirates,
105,Yemen,
106,CENTRAL AND SOUTHERN ASIA,
107,Central Asia,
108,Kazakhstan,
109,Kyrgyzstan,
110,Tajikistan,
111,Turkmenistan,
112,Uzbekistan,
113,Southern Asia,
114,Afghanistan,
115,Bangladesh,
116,Bhutan,
117,India,
118,Iran (Islamic Republic of),
119,Maldives,
120,Nepal,
121,Pakistan,
122,Sri Lanka,
123,EASTERN AND SOUTH-EASTERN ASIA,
124,Eastern Asia,
125,China,
126,"China, Hong Kong SAR",
127,"China, Macao SAR",
128,Dem. People's Republic of Korea,
129,Japan,Y
130,Mongolia,
131,Republic of Korea,
132,South-Eastern Asia,
133,Brunei Darussalam,
134,Cambodia,
135,Indonesia,
136,Lao People's Democratic Republic,
137,Malaysia,
138,Myanmar,
139,Philippines,
140,Singapore,
141,Thailand,
142,Timor-Leste,
143,Viet Nam,
144,LATIN AMERICA AND THE CARIBBEAN,
145,Caribbean,
146,Anguilla,
147,Antigua and Barbuda,
148,Aruba,
149,Bahamas,
150,Barbados,
151,British Virgin Islands,
152,"Bonaire, Sint Eustatius and Saba",
153,Cayman Islands,
154,Cuba,
155,Curaçao,
156,Dominica,
157,Dominican Republic,
158,Grenada,
159,Guadeloupe,
160,Haiti,
161,Jamaica,
162,Martinique,
163,Montserrat,
164,Puerto Rico,
165,Saint Kitts and Nevis,
166,Saint Lucia,
167,Saint Vincent and the Grenadines,
168,Sint Maarten (Dutch part),
169,Trinidad and Tobago,
170,Turks and Caicos Islands,
171,United States Virgin Islands,
172,Central America,
173,Belize,
174,Costa Rica,
175,El Salvador,
176,Guatemala,
177,Honduras,
178,Mexico,
179,Nicaragua,
180,Panama,
181,South America,
182,Argentina,
183,Bolivia (Plurinational State of),
184,Brazil,
185,Chile,
186,Colombia,
187,Ecuador,
188,Falkland Islands (Malvinas),
189,French Guiana,
190,Guyana,
191,Paraguay,
192,Peru,
193,Suriname,
194,Uruguay,
195,Venezuela (Bolivarian Republic of),
199,OCEANIA,
196,Australia / New Zealand,
197,Australia,Y
198,New Zealand,Y
200,Melanesia,
201,Fiji,
202,New Caledonia,
203,Papua New Guinea,
204,Solomon Islands,
205,Vanuatu,
206,Micronesia,
207,Guam,
208,Kiribati,
209,Marshall Islands,
210,Micronesia (Fed. States of),
211,Nauru,
212,Northern Mariana Islands,
213,Palau,
214,Polynesia,
215,American Samoa,
216,Cook Islands,
217,French Polynesia,
218,Niue,
219,Samoa,
220,Tokelau,
221,Tonga,
222,Tuvalu,
223,Wallis and Futuna Islands,
224,EUROPE AND NORTHERN AMERICA,
225,EUROPE,
226,Eastern Europe,
227,Belarus,Y
228,Bulgaria,Y
229,Czechia,Y
230,Hungary,Y
231,Poland,Y
232,Republic of Moldova,Y
233,Romania,Y
234,Russian Federation,Y
235,Slovakia,Y
236,Ukraine,Y
237,Northern Europe,
238,Channel Islands,Y
239,Denmark,Y
240,Estonia,Y
241,Faroe Islands,Y
242,Finland,Y
243,Iceland,Y
244,Ireland,Y
245,Isle of Man,Y
246,Latvia,Y
247,Lithuania,Y
248,Norway,Y
249,Sweden,Y
250,United Kingdom,Y
251,Southern Europe,
252,Albania,Y
253,Andorra,Y
254,Bosnia and Herzegovina,Y
255,Croatia,Y
256,Gibraltar,Y
257,Greece,Y
258,Holy See,Y
259,Italy,Y
260,Malta,Y
261,Montenegro,Y
262,North Macedonia,Y
263,Portugal,Y
264,San Marino,Y
265,Serbia,Y
266,Slovenia,Y
267,Spain,Y
268,Western Europe,
269,Austria,Y
270,Belgium,Y
271,France,Y
272,Germany,Y
273,Liechtenstein,Y
274,Luxembourg,Y
275,Monaco,Y
276,Netherlands,Y
277,Switzerland,Y
278,NORTHERN AMERICA,
279,Bermuda,Y
280,Canada,Y
281,Greenland,Y
282,Saint Pierre and Miquelon,Y
283,United States of America,Y
,,
,,
,,
,,
United Nations,,
Population Division,,
Department of Economic and Social Affairs,,
,,
,Workbook: UN_MigrantStockTotal_2019.xlsx,
,NOTES,
,,
"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,
"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,
,,
,,
NOTES,,
*,"The designations employed and the material in this publication do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory or area or its authorities, or concerning the delimitation of its frontiers or boundaries. The term “country” as used in this publication also refers, as appropriate, to territories or areas. The names and composition of geographical areas follow those presented in “Standard country or area codes for statistical use” (ST/ESA/STAT/SER.M/49/Rev.3), available at http://unstats.un.org/unsd/methods/m49/m49.htm.",
(a),"The column labeled “Type of data” indicates the type of data used in deriving the estimates presented. The codes used are: B, which indicates that estimates were derived from data on the foreign-born population; C, which indicates that estimates were derived from data on foreign citizens; R, which indicates that the number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the estimates, and I, which indicates that there were no data on international migrants for the country or area concerned and that the estimates presented were imputed. ",
(b),"The designations “more developed regions” and “less developed regions” are intended for statistical convenience and do not necessarily express a judgement about the stage reached by a particular country or area in the development process. More developed regions comprise Europe, Northern America, Australia, New Zealand, and Japan.",
(c),"Less developed regions comprise all regions of Africa, Asia (excluding Japan), Latin America and the Caribbean plus Melanesia, Micronesia and Polynesia.",
(d),"The group of least developed countries, as defined by the United Nations General Assembly, currently comprises 47 countries: Afghanistan, Angola, Bangladesh, Benin, Bhutan, Burkina Faso, Burundi, Cambodia, Central African Republic, Chad, Comoros, Democratic Republic of the Congo, Djibouti, Eritrea, Ethiopia, Gambia, Guinea, Guinea-Bissau, Haiti, Kiribati, Lao People’s Democratic Republic, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mozambique, Myanmar, Nepal, Niger, Rwanda, São Tomé and Príncipe, Senegal, Sierra Leone, Solomon Islands, Somalia, South Sudan, Sudan, Timor-Leste, Togo, Tuvalu, Uganda, United Republic of Tanzania, Vanuatu, Yemen and Zambia.",
(e),"The country classification by income level is based on June 2018 GNI per capita from the World Bank. As data on the GNI are not available for all countries or areas, the migrant stock figures by income groups do not add up to the world total. See Annex for details.",
