2019,2019226,Eastern Europe,,923,,"20,278,745","127,634","349,069","12,996","3,147","3,997",42,1,872,83,11,"1,617","587,071",4,"4,112","27,740","868,521",9,65,"1,706",18,"1,100,723","15,010",6,176,7,29,300,0,"7,948",142,"2,932",74,1,"36,343",474,156,63,280,954,"9,113",4,102,304,0,589,"95,023",78,0,991,88,878,0,209,275,"6,356","4,173",0,"3,784","108,520","10,746",160,"3,754",4,2,249,638,"5,115",56,104,78,"73,002",3,728,0,0,8,"6,340","57,294",0,0,32,39,"526,739","305,129","1,086",9,"24,230",2,3,0,0,73,499,159,42,15,0,42,"46,229",847,"16,092",895,"10,142","7,323","14,026",0,"15,083","94,414",59,"5,612","6,192","2,873,581",829,5,970,"624,826",214,"122,163","5,768",5,47,"1,549",6,"167,632",827,144,34,"2,018",49,329,337,1,0,13,166,0,"2,077",0,88,"28,763",601,0,"4,803",216,774,174,3,720,"12,954",0,721,138,42,"4,309",0,"7,582",49,"6,141",82,"3,068",0,150,12,137,986,"2,171","65,530","4,241",0,202,"8,135","642,713",0,"234,736","4,144,458",76,0,6,6,0,4,6,52,2,"1,402",375,"52,560",5,59,256,0,"123,844","1,785",0,792,"1,849",0,"64,365","1,193","2,671",696,9,"5,816","7,393","29,139","502,317","2,598",1,32,0,7,21,"4,221","38,658","214,404",2,583,242,"3,958,674","1,740","89,305",387,"48,294",0,360,"1,388,126",23,811,"82,884",1,43,"1,657","39,371","13,219",,,,,
2019,2019227,Belarus,,112,B,"1,069,395",122,184,278,,52,,,,,,100,"5,656",,27,58,"13,324",,,,,,35,,,,,,,,,92,,,60,,,,,,153,,,,,,,,,,,,,,,,43,,,94,59,,196,,,,,,,,,"3,202",,24,,,,"2,084",,,,,,"8,400",65,,,106,,,,,,,,,,,,337,,47,,48,,23,,382,23,,,29,"69,084",,,,"5,168",,"10,355",64,,,,,"17,168",,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,60,,46,,,,,,,472,,,,28,"7,513",,22,"673,880",,,,,,,,,,,,34,,,,,26,,,,,,34,,,,,335,28,81,"5,608",,,,,,,,24,"5,395",,,,"222,917",22,455,,85,,27,"14,603",,,361,,,32,,,,,,,
2019,2019228,Bulgaria,,100,B,"168,516",645,"1,934",396,"1,348",482,,0,14,35,5,128,"1,840",4,287,"1,512","2,103",4,21,606,4,"1,062","2,199",2,30,2,26,21,,140,27,184,74,1,,13,19,6,14,21,717,4,,6,,26,"1,447",,,49,,18,,8,16,137,317,,"1,372","1,514",52,16,395,3,0,57,19,317,11,,3,100,2,65,,,1,195,"2,614",,,10,10,510,"9,334",26,9,"8,563",2,,,,4,12,4,4,5,,2,415,25,370,64,455,"1,285",349,,734,"3,790",6,214,294,"2,101",24,4,177,241,1,216,989,,6,293,2,162,99,2,,13,1,5,119,1,,2,4,,90,,9,95,40,,140,40,,8,2,17,"1,522",,54,40,1,191,,"3,595",,442,6,248,,9,3,3,30,118,"2,043",540,,48,219,"2,990",,"4,556","31,679",2,,,,,,5,6,,106,16,"2,879",,2,33,,413,122,,26,284,,"7,098",18,71,51,2,451,551,"14,080",175,56,,,0,1,,151,"11,702",332,2,1,9,"10,115",285,"9,992",14,"3,153",,20,950,17,50,714,1,0,80,14,40,,,,,
2019,2019229,Czechia,,203,C,"512,705",,,516,384,741,,1,176,,6,242,"1,954",,645,"2,738","1,357",,18,285,13,"4,502",688,1,41,4,3,89,,"2,772",84,720,,,"11,204",17,7,13,56,107,915,,0,6,,155,"5,404",19,,297,1,67,,86,98,"1,708",508,,114,,14,95,339,1,2,75,112,907,29,1,8,213,1,128,,,7,339,"3,219",,,7,18,"1,181","16,827",346,,898,,1,,,43,76,22,5,10,,31,"1,393",36,"2,862",237,629,657,609,,670,"4,006",25,"1,725",191,"7,798",119,1,125,900,35,518,382,2,12,208,1,662,27,25,6,291,4,28,24,0,,6,43,,627,,6,"5,833",122,,354,18,134,27,1,391,"2,735",,212,17,5,695,,"2,196",,198,,591,0,58,6,26,274,868,"19,442",382,,10,"1,989","8,254",,"7,051","36,218",13,,6,6,,1,1,1,2,293,68,"2,038",5,19,84,,"98,877",379,0,27,399,,"1,147",174,115,62,7,503,594,"1,235",299,"1,149",1,18,,6,9,925,"2,193",173,,1,38,"110,337",127,"5,327",27,"7,650",,37,"2,597",6,194,"46,631",,13,411,"38,824","12,942",,,,,
2019,2019230,Hungary,,348,B R,"512,043","5,918","13,811","1,452",307,842,,,86,,,402,194,,"1,060","10,297",404,5,26,82,1,214,"2,237",3,12,1,,57,,293,4,778,,,"1,396",,,,70,329,"2,616",,12,3,,155,"17,389",,,252,,78,,47,52,"2,091",602,,299,"1,497",,49,513,,,50,180,"1,690",16,,36,155,,162,,,,867,"4,404",,,15,11,300,"32,278",191,,"1,304",,2,,,26,50,3,6,,,9,,143,"1,721",272,"2,842","1,174","1,580",,"1,662","5,562",28,"1,714",543,638,144,,300,149,57,192,459,3,29,457,3,231,217,34,,117,,26,104,,,5,56,,537,,4,"1,058",74,,306,21,15,19,,80,"3,750",,205,22,7,"1,683",,226,,"1,409",25,593,,26,3,14,220,380,"3,322",527,,93,"1,123",248,,"205,472","4,044",17,,0,,,3,,,,435,43,"41,807",,38,90,,"21,018",426,,681,396,,"2,240",73,112,208,,"1,678","3,150","2,006",16,988,,14,,,12,416,"2,502",,,,49,"55,609",421,"11,111",57,"8,324",,58,158,,279,"3,548",,,326,19,56,,,,,
2019,2019231,Poland,,616,B,"655,985","5,730","1,908",149,133,616,,,59,,,288,"2,228",,961,"4,012",281,,,104,,"80,409","5,527",,,,,50,,"3,681",,275,,,"1,831",,,,27,38,"3,125",,,,,61,"1,246",,,130,,112,,37,,831,238,,220,"4,778",,,944,,,21,47,478,,,31,209,,45,,,,264,"27,662",,,,,344,"80,820",37,,"3,280",,,,,,58,,27,,,,"1,422",521,907,118,243,450,"8,039",,366,"10,520",,540,144,"4,874",63,,202,132,,"1,641",404,,,254,,"53,423",243,,,42,,30,,,,,,,224,,25,341,61,,335,27,,,,58,"2,741",,112,,,402,,280,,"1,618",,225,,33,,,117,205,,144,,26,123,586,,"2,626","40,399",,,,,,,,,,184,92,"1,095",,,,,"1,371",160,,,402,,"5,104",90,,118,,"1,383","1,074",622,160,103,,,,,,433,924,56,,,65,"218,716",132,"36,585",73,"14,478",,98,525,,76,"2,956",,,119,44,109,,,,,
2019,2019232,Republic of Moldova,18,498,B,"104,713",611,"4,430",,,,,,,,,,,,,,729,,,,,"2,081",,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,597,702,,,445,,,,,,,,,,,,110,,,,,,,,393,"3,233",,,,"4,382",,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,130,672,,,,,,"1,885","40,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,,,,,"42,548",,,,,,,693,,,,,,,,,,,,,
2019,2019233,Romania,,642,B,"462,552","7,047","9,523",,626,373,,,,,,120,95,,242,"2,120",,,,159,,110,"2,906",,,,,,,110,,308,,,"11,674",,,,,126,492,,,,,57,"5,557",,,,,,,,,180,88,,913,407,,,845,,,46,,436,,,,,,,,,,203,"13,805",,,,,165,"16,581",149,,"7,121",,,,,,100,,,,,,"8,974",,452,,"1,605","2,563","2,057",,"3,219","61,975",,248,362,256,,,,,,,580,,,,,89,137,,,,,168,,,,,,,263,,,,,,751,,,,,,975,,,,,411,,206,,790,,532,,,,59,,402,717,"1,510",,,354,"177,482",,,"6,648",,,,,,,,,,123,84,"2,517",,,,,308,,,,,,"46,238",251,230,,,683,594,"3,829",,,,,,,,"1,784","8,757",,,,,"18,345",296,"16,828",,"4,855",,,,,115,246,,,,,,,,,,
2019,2019234,Russian Federation,,643,B,"11,640,559",619,46,"5,093",233,777,42,,510,48,,251,"527,163",,542,"2,952","767,159",,,470,,"764,120",470,,93,,,83,,514,27,432,,,"5,839",444,130,44,113,333,557,,90,151,,106,"56,157",59,,205,87,579,,31,109,320,"2,226",,715,"11,254","10,621",,230,,,,240,"1,059",,103,,"58,737",,271,,,,"2,209","2,566",,,,,"450,115","141,992",315,,"1,951",,,,,,203,130,,,,,"16,837",43,"5,699",162,"2,011",985,174,,"3,648","1,895",,"1,024",815,"2,559,711",450,,84,"591,211",121,"89,368",967,,,269,,"71,061",35,83,28,"1,555",44,72,53,,,,63,,203,,44,"21,139",262,,"1,100",110,625,120,,174,547,,85,59,29,795,,254,49,700,51,727,,24,,35,276,146,"29,200",231,,25,"3,720","294,245",,"3,910",,44,,,,,,,45,,218,72,,,,49,,"1,831",349,,58,239,,"1,393",587,565,257,,474,579,"3,264","466,399",216,,,,,,334,"10,234","185,620",,581,81,"3,269,248",354,"1,740",216,"4,586",,120,"1,146,535",,97,"13,667",,30,647,470,72,,,,,
2019,2019235,Slovakia,,703,B,"187,984",635,28,252,116,114,,,27,,,86,161,,348,"4,051",43,,,,,236,948,,,,,,,438,,143,,,"2,476",,,,,,538,,,138,,29,"1,198",,,58,,24,,,,"1,089",151,,151,"88,794",,,292,,,,40,228,,,,62,,33,,,,179,"3,024",,,,,85,"5,437",22,,562,,,,,,,,,,,,"16,741",79,180,42,152,209,"1,195",,220,"3,410",,147,63,270,29,,82,29,,182,142,,,68,,174,69,,,,,,37,,,,,,133,,,65,42,,63,,,,,,684,,53,,,132,,825,,924,,106,,,,,69,52,"7,096",235,,,579,153,,"9,214","2,952",,,,,,,,,,43,,"2,190",,,,,,349,,,129,,"1,111",,50,,,309,823,265,,86,,,,,,178,368,,,,,"10,839",103,"7,267",,"2,398",,,53,,,"2,248",,,42,,,,,,,
2019,2019236,Ukraine,19,804,B,"4,964,293","106,307","317,205","4,860",,,,,,,,,"47,780",,,,"83,121",,,,,"247,989",,,,,,,,,,,,,"1,749",,,,,,,,,,,,"6,625",,,,,,,,,,,,,,,,,,,,,,,,,"10,324",,,,,,,,,,,,"65,042","1,093",,,,,,,,,,,,,,,,,"3,854",,"2,157",,,,"3,789",,,,"3,751","224,467",,,,"26,996",,"19,691","1,781",,,,,"24,662",,,,,,,,,,,,,,,,,,,"1,754",,,,,,,,,,,,,,,,,,,,,,,,"3,108",,,,,"151,242",,,"3,308,515",,,,,,,,,,,,,,,,,,,,,,,,,"1,528",,,,,"3,757","29,660",,,,,,,,"1,368","22,828",,,,,,,,"2,765",,,"222,012",,,"12,513",,,,,,,,,,
2019,2019237,Northern Europe,,924,,"15,094,924","39,385","140,211","140,131","21,654","32,975",0,73,"17,155",870,"5,394","19,958","8,043","1,016","166,556","39,870","11,207","2,753","7,456","265,118","28,850","91,802","45,411","1,849",879,"5,216","1,494","9,483",0,"105,097","4,189","81,457",437,"5,797","71,328",512,"9,807","2,036","3,259","14,543","128,683","1,389",500,575,"22,417","46,615","316,709","137,493",0,"51,540",163,"13,135",0,"1,881","9,927","31,125","8,139",0,"112,773","50,777","12,957","32,006","106,811","1,110","9,348","3,734","12,846","54,339","4,675",328,"98,248","92,730","1,763","53,962","1,448","13,540","7,058","180,834","216,741",0,128,420,"19,482","9,073","500,618","151,551","13,380","81,071","18,191","13,571",0,0,"2,936","3,146","2,290","30,592",741,0,"1,615","86,505","27,291","1,014,039","18,628","215,541","283,912","458,124","11,808","28,339","216,688","158,812","62,879","14,002","21,611","161,558",248,"20,625","4,073","1,578","109,445","64,723",958,"6,085","24,671",92,"291,573","3,885","2,078","20,991","93,482",441,701,"43,159",1,0,373,"52,961",0,"18,361",1,529,"6,569","3,432","11,688","51,760","7,498","24,110","3,186",23,"52,194","112,458",187,"91,361","1,971",530,"243,625",0,"19,627",0,"92,012","3,918","672,724",11,"1,436","1,603","1,449","19,933","224,469","1,325,714","176,461",0,"3,255","43,492","13,526",18,"300,623","403,142","7,481","4,362","8,602","12,376",0,"10,305",413,7,747,"40,821","3,710","35,609","4,722","30,954","61,791",0,"71,252","5,172",476,"287,451","251,823",296,"141,468","189,108","13,253","35,658",653,"165,297","37,574","257,734","2,146","138,664","3,007","2,446",0,352,"32,773","15,719","212,295","2,042",164,1,"90,796","123,577","18,373","478,822","53,554","317,457",196,"4,595","11,800",204,"13,513","95,939",0,38,"25,683","38,315","188,167",,,,,
2019,2019238,Channel Islands,20,830,B,"83,833",905,"2,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,016",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,480",,,,,,,,,,,,,,,,,,
2019,2019239,Denmark,,208,B,"722,878",,,"14,168",520,"1,046",,6,173,,4,"2,009",782,0,"3,820","2,076",382,21,115,"1,894",51,809,"2,467",8,62,0,669,499,,"18,196",70,"4,503",,8,"9,993",130,564,37,285,868,"4,191",,29,22,,"2,000","14,880",0,0,"3,767",15,463,0,199,498,"2,069",574,,274,"2,010",430,"1,813",,21,14,209,677,"2,022",106,,"5,545","1,604",60,"2,422",,"11,834",31,"4,300","8,214",0,0,11,715,261,"38,375","2,319",,"3,606","17,566",15,0,,261,126,111,110,167,,162,"5,866","8,835","14,253","1,353","17,716","22,936","2,087",,"1,838","9,947",180,"2,148","1,373",269,"1,930",3,"1,514",73,69,"5,423","13,667",50,169,316,26,"13,224",626,76,91,941,11,58,132,1,0,28,157,,"1,572",,21,72,310,,"6,090",252,"1,868",88,,"4,714","8,196",,971,225,17,"1,693",,"3,800",,"21,628",31,"14,892",,104,8,95,"1,240","12,610","43,640","2,860",0,175,"9,392",906,0,"28,150","6,777",425,,,12,,5,24,2,3,440,198,"3,627",22,359,945,,"2,978",466,4,"12,228","2,351",,"7,937","8,412",0,863,33,"25,128","3,031","37,667",36,"14,592",,159,,21,178,"1,023","34,938",23,,,"1,782","10,569",594,"21,837","1,123","15,110",,248,324,6,892,"10,815",,,178,700,454,,,,,
2019,2019240,Estonia,,233,B,"190,242",5,29,42,36,29,,,4,,5,37,693,,127,135,"1,468",,1,111,1,"10,572",184,0,,,,2,,2,0,131,,,302,,,,9,38,132,,0,,,22,399,0,,42,,4,,4,4,43,24,,26,225,3,8,178,,,5,14,104,2,,,,,11,,0,,"4,603",645,,,,,"1,663","1,960",18,0,96,,,,,11,,,1,,0,6,206,18,460,18,115,47,116,0,84,784,1,115,17,"3,682",9,0,11,533,,"4,855",36,,,5,0,"2,034",14,0,,11,,,,,,2,1,,90,,0,49,,,29,2,,2,,62,252,,21,2,,305,,12,,271,,131,,,2,,25,67,729,150,,0,69,940,0,308,"121,568",1,,0,,,,,,,12,0,31,,,13,,140,31,,4,39,,486,30,8,21,1,600,81,79,347,61,,,,0,3,21,304,333,,,8,"22,445",17,789,5,711,,5,"1,069",,18,39,,,8,1,5,,,,,
2019,2019241,Faroe Islands,,234,B,"6,454",246,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,24,,,,,,14,,,,,,35,,,35,,,,,,27,,,,,,,"4,066",,,,,,,,,,,38,,,,,,,,,,,28,22,,,172,,,,,,,,,,,,257,70,11,,,,,,,,,,,20,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,19,196,85,,,,58,,,112,34,,,,,,,,,,,,57,,,,,,,,,22,,,,,,,85,,,,136,,,,,,15,,,,,,,,126,,45,,,,,,,,,,,,,,,,
2019,2019242,Finland,21,246,B,"383,116",525,"1,575","7,706",659,"1,212",,2,577,,,569,145,,"1,538",845,204,10,29,"3,216",17,518,897,1,22,0,4,206,,995,22,"2,054",,4,"2,956",29,86,17,391,"1,279","2,106",,8,10,,620,"14,040",,,"1,495",4,161,,94,185,352,685,,249,383,6,"2,439","1,360",16,8,244,276,"1,767",94,18,512,"61,365",,"2,845",,,13,,"3,370",,,17,"1,045",122,"8,894","2,167",,"1,975",,,,,103,133,9,24,14,,103,"3,068",223,"7,854",768,"9,137","18,580",854,,"1,065","3,716",107,"1,780",397,411,"1,942",,221,76,63,"2,588",874,0,143,327,0,"1,553",130,22,129,603,1,28,60,,,33,61,,"1,159",,12,83,17,,"3,046",98,"1,591",124,,"4,113","2,079",,311,150,28,"3,517",,,,"2,303",14,"3,626",,40,14,34,725,"5,324","6,226",764,,25,848,266,,"4,253","18,369",650,,1,5,,2,4,,,530,271,295,8,182,303,,366,104,5,"14,921","1,221",,"3,898","1,388",76,"1,489",2,"43,205","1,458","4,816",71,"13,687",,119,,2,59,983,"9,137",38,,1,302,"2,767",268,"7,948",733,"6,686",,153,259,1,338,"10,036",,,166,409,139,,,,,
2019,2019243,Iceland,,352,B,"52,404",375,750,34,112,60,,2,41,,,63,10,1,147,159,16,6,1,3,1,55,161,0,2,3,,20,,200,,197,,0,393,1,,46,1,10,344,,,,,83,702,,,242,,,,19,5,287,64,,7,420,,2,"3,843",1,4,50,42,41,21,15,7,150,,86,,345,1,239,715,,,,16,28,"1,979",94,,75,79,,,,45,20,,22,15,,46,362,,375,154,114,91,137,,43,385,22,110,19,31,101,,3,5,,998,45,,2,10,,"2,141",161,2,3,43,,4,5,,,,7,,134,,1,20,,,219,24,2,47,0,122,358,,73,6,0,110,,59,,"1,275",,57,,5,1,3,93,"1,945","15,629",834,0,3,43,49,,793,449,1,,,,,,,,,13,27,390,,15,16,,389,45,1,11,95,,768,183,,,1,"2,254",185,171,2,"1,440",,9,,1,9,37,92,1,,,46,377,7,"1,677",27,"2,461",,11,12,,58,798,,,1,9,13,,,,,
2019,2019244,Ireland,,372,B,"833,564",,,162,326,645,,2,526,1,2,359,58,7,"7,247",860,54,29,90,"3,548",19,670,"1,798",2,37,62,7,18,,702,87,"11,299",1,17,"2,167",9,52,4,12,379,"5,843",27,8,10,,155,"13,924","2,071",,,0,"2,765",,12,146,555,91,,316,"6,676",143,57,"1,075",1,1,10,42,584,29,0,41,"3,012",23,169,4,3,15,"1,060","12,237",,1,4,62,279,"15,774",553,42,698,1,15,,,137,54,1,31,4,,13,"9,009",41,"21,698",140,488,497,,,241,"8,684",131,580,121,284,529,0,220,35,37,"24,291",146,42,117,481,2,"42,347",171,13,83,"4,595",2,31,408,0,,8,"3,547",,334,0,7,349,0,1,300,42,70,41,,149,"5,467",7,"2,493",17,141,"24,036",,719,,334,53,"10,121",,17,14,29,139,"16,810","139,986","2,729",,38,211,"4,157",,"21,868","7,213",87,7,2,7,0,2,14,0,,470,24,0,12,215,237,,"12,996",230,2,582,"9,862",,"8,509",261,73,645,13,"2,050",607,"1,112",23,587,3,125,,1,121,109,536,4,1,,163,"5,010",220,"293,061",137,"33,693",,60,101,1,140,697,,1,34,373,"3,401",,,,,
2019,2019245,Isle of Man,,833,B,"42,864","1,908","3,689",,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,,"34,050",,230,,,,,,,,,,,,,,,,
2019,2019246,Latvia,,428,B,"237,266",,,25,10,12,,0,0,0,0,15,667,0,93,87,"1,788",,0,4,1,"42,944",109,,1,,,,,5,,28,,,103,,0,0,0,1,140,,0,,,5,335,,,5,,1,,0,2,7,43,,47,135,10,,206,,,0,1,53,,,0,"2,811",,,,,,117,209,,,,0,"1,216","1,975",,,48,0,,,,0,,,,,,,176,33,213,3,33,33,829,,83,255,2,21,4,"5,467",2,,0,742,,,31,,,1,0,"14,554",8,0,0,8,,1,11,,,,2,,18,,,99,,,14,0,,,,16,134,,7,0,,19,,,,368,,52,0,0,,1,10,9,742,33,,2,23,"1,594",,64,"119,832",1,,,,,,,,,5,,12,,0,3,,22,7,,4,21,0,160,33,2,3,,232,71,24,499,18,,0,,,0,4,113,538,,,0,"31,141",18,"2,985",2,465,,1,"2,024",,24,24,,,0,,2,,,,,
2019,2019247,Lithuania,,440,B,"117,218",208,117,7,,,,,,,,47,404,,35,61,619,,,,,"27,705",208,,,,,,,,,51,,,90,,,,,,14,,,,,,85,,,,,,,,,,,,36,87,,,428,,,,,51,,,,717,,,,,,119,373,,,,,443,"1,606",,,60,,,,,,,,,,,,106,39,,,129,,"1,470",,32,431,,24,,"3,774",,,,299,,"5,058",11,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,205,,,,,2,,,,"2,007",,4,,,,,,,"1,818",82,,,,615,,266,"48,338",,,,,,,,,,,,,,,,,51,,,,,,648,,,,,385,63,,251,,,,,,,,41,185,,,,"11,461",36,"4,568",,410,,21,736,,,31,,,,,,,,,,
2019,2019248,Norway,22,578,B,"867,765","11,229",591,"17,347","1,611","1,362",,,551,,,"1,234",347,,"2,472","1,770",579,23,34,"1,181",24,"1,150","1,904",,32,,404,593,,"14,762",128,"5,945",,34,"7,368",33,"1,170",436,473,800,"3,395",,,34,,"7,207","12,448","1,389",0,"6,378",,276,,314,374,"4,507","1,132",,227,"2,443",42,"2,526","26,866",67,,962,851,"1,278",228,,"21,788","5,419",,"9,586",,886,46,"7,438","6,941",,,,"1,316",352,"30,341","2,118",,"3,052",310,,,,491,307,65,97,53,,130,"4,598","8,983","13,627","1,675","18,707","24,438","1,258",,928,"4,893",182,"1,558",544,998,"2,347",,456,239,121,"10,958","2,465",,"1,020",723,24,"40,888",156,530,121,935,,54,109,,,65,212,,"1,444",,,164,482,,"6,354",208,"3,458",97,,"1,952","9,547",,670,226,64,"1,997",,"2,937",,,49,"21,849",,83,,175,"1,701","24,098","105,843","3,602",0,91,"8,193","1,071",,"15,264","19,175",685,,,,,,,,,900,311,"5,858",,554,857,,"4,242",448,,"31,160","1,687",188,"7,455","10,154","3,698","4,636",41,"52,421","2,492","22,603",119,"21,846",,122,,,371,"1,144","12,455",87,,,"1,390","5,377",553,"21,036","1,003","19,207",,257,645,,"1,188","15,246",,37,527,576,316,,,,,
2019,2019249,Sweden,,752,B,"2,005,210","3,597","90,877","45,413","7,136","3,475",,2,801,,3,"3,386","3,348",,"5,195","5,826","3,654",37,117,"10,147",118,"3,470","3,224",15,116,16,47,"4,690",,"59,939",134,"9,740",2,8,"10,188",88,"3,349",427,737,"1,670","4,271",,125,126,,"27,855","34,476",607,,"12,699",0,887,,472,"1,148","12,406","3,018",,902,"2,492",84,"5,354","39,205",517,49,914,"2,623","8,846","3,158",54,"53,250","10,101",29,"22,381",,,74,"145,544","11,879",,,39,"5,561","2,099","52,052","3,340",5,"20,490",,41,,,851,666,149,127,153,0,407,"17,017","6,312","37,803","2,963","79,308","141,430","2,984",,"2,743","14,288",425,"3,613","5,187","2,520","4,881",4,"4,830","1,237",490,"9,026","28,815",77,"1,001","4,744",2,"16,406",387,141,101,"1,708",25,171,210,0,,65,208,,"3,153",1,50,"4,281","1,372",,"11,545",323,"1,527",177,1,"1,063","12,671",,"1,295",921,69,"6,248",,"9,115",,"41,885",92,"16,976",11,337,28,223,"7,996","15,214","96,994","4,416",,398,"11,484","1,378",,"33,042","22,470",818,,0,44,,19,26,5,10,"8,557",971,"15,293",80,973,985,,"1,977","1,464",5,"66,818","3,431",108,"13,235","7,313","9,396","7,491",65,,"4,164","181,793",432,"43,741",8,384,,32,312,"5,881","50,188",254,,,"5,051","10,652","4,764","30,265","2,019","22,524",,"2,191","4,385",0,"1,597","20,448",,,"3,194",731,720,,,,,
2019,2019250,United Kingdom,,826,B,"9,552,110","20,387","40,130","55,227","11,244","25,134",,59,"14,482",869,"5,380","12,239","1,589","1,008","145,692","28,051","2,443","2,627","7,069","245,014","28,618","3,909","34,459","1,823",607,"5,135",363,"3,455",,"10,296","3,748","47,487",434,"5,726","37,744",222,"4,586","1,069","1,351","9,498","108,074","1,362",330,373,"22,245","8,668","225,385","133,426",,"26,877",144,"8,578",,767,"7,565","10,872","2,508",,"110,689","35,906","12,239","19,807","29,584",487,"9,272","1,340","8,320","39,593","1,037",241,"17,105","7,551","1,651","16,424","1,444",472,"6,878","17,414","170,142",,127,349,"10,767","2,610","347,634","140,920","13,333","50,971",63,"13,500",,,"1,037","1,840","1,955","30,180",335,,748,"46,097","2,550","917,686","11,543","89,794","75,860","442,796","11,808","21,282","173,305","157,762","52,930","6,340","4,175","149,797",241,"13,370",834,798,"46,248","18,633",789,"3,633","18,064",38,"158,413","2,232","1,294","20,463","84,638",402,354,"42,224",,,172,"48,766",,"10,457",,438,"1,402","1,251","11,687","24,163","6,549","15,594","2,610",22,"40,003","73,549",180,"85,434",424,211,"205,698",,"2,985",,"21,741","3,679","605,016",,850,"1,536",889,"7,985","148,196","914,022","146,879",,"2,523","13,171","2,550",18,"196,503","38,917","4,813","4,355","8,599","12,308",,"10,277",345,,734,"29,894","1,908","10,046","4,600","28,656","58,432",,"48,091","2,377",459,"161,723","232,276",,"98,372","161,334",,"20,510",497,"38,937","25,422","9,469",366,"42,556","2,996","1,528",,295,"31,720","6,502","104,491",579,163,,"82,054","23,778","11,896",,"48,505","215,915",196,"1,648","2,245",196,"9,258","37,805",,,"21,575","35,516","183,117",,,,,
2019,2019251,Southern Europe,,925,,"16,503,552","41,599","71,922","24,083","975,465","80,893",0,"6,548","164,564",9,51,"335,269","25,753",0,"60,168","43,192","2,028",194,142,"138,265",100,"38,335","104,231",69,"3,412",6,39,"167,295",0,"876,602",69,"364,860",0,58,"265,867","14,099","1,376","71,607","1,514","19,405","59,361",0,844,694,0,"70,411","410,816",134,"2,028","409,715",96,"7,340",0,"5,117","33,587","389,013","180,849",0,"22,204","26,084",300,"11,302","16,955",145,"1,332","214,176","501,128","157,732","24,339","21,709","15,742","3,763",649,"36,676",0,0,75,"16,937","454,991",0,8,"1,329","32,572","106,723","615,961","64,594",3,"52,918",1,660,0,0,"10,037","22,119","36,195",197,"1,579",209,"60,695","29,013","1,459","218,170","6,443","26,316","17,341","21,904",3,"8,254","161,080",718,"16,283","6,681","33,993","6,398",3,"1,606","2,582",493,"8,560","13,421",26,"2,592","40,949",466,"23,236","10,672","3,248",723,"1,484",37,"33,044","2,464",0,0,"9,713","9,466",0,"63,386",123,"1,940",744,"97,523",75,"1,168,461","73,634",669,234,5,"11,460","72,399",0,"2,762","27,439","1,574","113,340",0,"156,404",0,"18,820",148,"178,834",186,"5,679",76,"67,538","311,794","210,114","200,177","127,885",0,"1,306","8,990","238,567",0,"1,771,853","239,665","1,203",2,10,67,0,21,497,"2,039","18,498","2,499","158,272","163,280","1,020","2,962","1,325",0,"24,777","39,236",6,"16,459","27,520",0,"76,508","96,391","2,034","5,575",293,"35,444","289,965","39,790",430,"15,391","2,071","6,358",0,20,424,"113,805","81,077",487,0,48,"1,468","412,028","1,010","435,639","2,615","140,646",0,"83,444","12,515",89,"281,536","7,882",0,9,752,"1,391","2,946",,,,,
2019,2019252,Albania,,8,B,"49,160","1,079","4,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,852",,,,,,,,,,,,,,,,,,,,,"8,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,852",,,,,,,,,"2,242",,,,,,,,,,,,,,,,
